project,DOI,PMID,PMCID
PRJEB3324,10.1126/science.1229000,23363771,PMC3667500
PRJEB3360,10.1126/science.1229000,23363771,PMC3667500
PRJNA533120,10.1371/journal.pone.0068322,23844187,PMC3700858
PRJEB4244,10.1126/science.1241214,24009397,PMC3829625
PRJEB4335,10.1016/j.chom.2013.08.006,24034618,PMC3864811
PRJNA227062,10.1038/mi.2013.116,24399150,PMC4062575
PRJNA237362,10.1016/j.chom.2014.02.005,24629344,PMC4059512
PRJEB5482,10.1038/nature13421,24896187,PMC4189846
PRJEB5714,10.3389/fmicb.2014.00298,24995004,PMC4063188
PRJNA232731,10.3389/fmicb.2014.00361,25101067,PMC4101878
PRJEB6518,10.1186/gb-2014-15-7-r89,25146375,PMC4405912
PRJEB6358,10.1038/nature13738,25231861,PMC4353411
PRJEB6702,10.1016/j.cell.2014.09.053,25417156,PMC4255478
PRJEB6705,10.1016/j.cell.2014.09.053,25417156,PMC4255478
PRJEB5729,10.1186/s13059-014-0531-y,25517225,PMC4252997
PRJNA246121,10.1038/srep08096,25644696,PMC4314632
PRJNA259224,10.1016/j.chom.2015.01.015,25732063,PMC4369771
PRJEB9150,10.1128/mbio.00381-15,25991682,PMC4442136
PRJNA342173,10.1053/j.gastro.2015.10.005,26460205,PMC4727996
PRJNA280026,10.1038/ncomms9727,26515465,PMC4640069
PRJNA279031,10.2147/ceg.s89999,26673000,PMC4675645
PRJNA297510,10.7717/peerj.1514,26839739,PMC4734456
PRJNA290926,10.1186/s13073-016-0290-3,27056827,PMC4823848
PRJNA317370,10.1186/s13073-016-0299-7,27102666,PMC4840970
PRJNA307992,10.1186/s13073-016-0298-8,27121861,PMC4847246
PRJDB4360,10.1186/s12866-016-0708-5,27220822,PMC4879732
PRJNA279828,10.1371/journal.pone.0155405,27228122,PMC4881907
PRJNA308315,10.1038/srep28797,27356770,PMC4928084
PRJNA306884,10.1186/s40168-016-0178-x,27357127,PMC4928258
PRJNA324825,10.1186/s13073-016-0331-y,27412252,PMC4944441
PRJNA297793,10.1371/journal.pone.0159223,27434092,PMC4951149
PRJNA317290,10.1111/1462-2920.13463,27450202,PMC5516186
PRJNA328016,10.1002/mnfr.201500905,27461523,PMC5209300
PRJNA301903,10.1038/nmicrobiol.2016.24,27572443,PMC5031140
PRJEB13896,10.1038/nm.4176,27618652,PMC5053876
PRJNA275256,10.3164/jcbn.15-148,27698538,PMC5018569
PRJNA317429,10.1172/jci.insight.86907,27699268,PMC5033844
PRJNA331150,10.1186/s40168-016-0198-6,27717398,PMC5055705
PRJEB15534,10.1016/j.jaci.2016.08.055,27838347,PMC5502827
PRJNA318004,10.1186/s40168-016-0205-y,27842559,PMC5109736
PRJNA322688,10.1038/mi.2016.97,27848950,PMC5433931
PRJNA485797,10.1016/j.jpsychires.2016.12.007,27988330,PMC5336480
PRJNA323603,10.1186/s40168-016-0214-x,28034306,PMC5200970
PRJEB15481,10.1016/j.chom.2016.12.006,28041931,PMC5234936
PRJNA339264,10.1186/s40168-016-0213-y,28095889,PMC5240274
PRJNA324147,10.1016/j.jcmgh.2016.06.004,28174747,PMC5247316
PRJNA349809,10.1126/scitranslmed.aaf9655,28179509,PMC6159892
PRJNA352060,10.1186/s13073-017-0409-1,28245856,PMC5331640
PRJNA317493,10.1186/s12866-017-0983-9,28359329,PMC5374586
PRJNA368739,10.1186/s13059-017-1194-2,28407784,PMC5390365
PRJNA353587,10.1136/gutjnl-2017-313952,28539351,PMC5868238
PRJNA321731,10.1038/ismej.2017.71,28548658,PMC5563958
PRJNA382889,10.1002/erv.2524,28586130,PMC5894812
PRJNA369241,10.7717/peerj.3437,28626612,PMC5470579
PRJEB10326,10.3389/fcimb.2017.00237,28634574,PMC5459914
PRJNA378749,10.3389/fimmu.2017.00655,28659913,PMC5466969
PRJNA354863,10.1038/s41598-017-06675-1,28740260,PMC5524949
PRJNA388263,10.1371/journal.pcbi.1005706,28821012,PMC5576755
PRJEB20773,10.1038/s41598-017-06862-0,28835659,PMC5569098
PRJNA392012,10.1126/science.aan4834,28839072,PMC5891123
PRJNA349463,10.1186/s40168-017-0338-7,28915922,PMC5603068
PRJNA517509,10.1111/mcn.12527,28925580,PMC6866193
PRJDB5564,10.3389/fmicb.2017.01757,28955323,PMC5601059
PRJNA385551,10.1128/mSphere.00327-17,28959739,PMC5615133
PRJNA362482,10.3748/wjg.v23.i33.6164,28970732,PMC5597508
PRJNA386603,10.1038/s41598-017-14707-z,29085002,PMC5662621
PRJNA362366,10.1186/s40168-017-0366-3,29145893,PMC5689185
PRJNA362951,10.1126/science.aal5240,29170280,PMC5823247
PRJNA382861,10.3389/fmicb.2017.02222,29180991,PMC5693892
PRJNA394608,10.3389/fmicb.2017.02306,29213261,PMC5702803
PRJEB21946,10.1016/j.vaccine.2017.11.031,29217369,PMC5755003
PRJNA390646,10.1128/msphere.00501-17,29242832,PMC5717325
PRJNA398279,10.1016/j.jand.2017.09.013,29274690,PMC5869089
PRJNA417357,10.1038/s41467-017-02573-2,29321519,PMC5762761
PRJNA427597,10.1128/msphere.00572-17,29359185,PMC5760750
PRJEB1799,10.1128/msystems.00192-17,29359197,PMC5768791
PRJEB20766,10.1038/s41467-018-03157-4,29453431,PMC5816017
PRJNA401981,10.3389/fmicb.2018.00213,29491857,PMC5817072
PRJNA449103,10.1093/cid/ciy153,29518185,PMC6070042
PRJNA369083,10.1128/msphere.00560-17,29564398,PMC5853488
PRJNA389481,10.1371/journal.pone.0194171,29596446,PMC5875756
PRJEB17860,10.1093/infdis/jiy192,29659916,PMC6047457
PRJEB17608,10.1038/sdata.2018.68,29688220,PMC5914283
PRJEB17610,10.1038/sdata.2018.68,29688220,PMC5914283
PRJEB17613,10.1038/sdata.2018.68,29688220,PMC5914283
PRJEB16344,10.3390/nu10050576,29738477,PMC5986456
PRJNA421286,10.1128/mbio.02392-17,29789365,PMC5964358
PRJEB11419,10.1128/msystems.00031-18,29795809,PMC5954204
PRJEB35994,10.2337/dc18-0071,29844096,PMC7082640
PRJEB22676,10.1186/s40168-018-0487-3,29885665,PMC5994066
PRJNA416445,10.3389/fmicb.2018.01230,29946306,PMC6005867
PRJNA434249,10.1186/s40168-018-0494-4,29954454,PMC6022452
PRJNA422134,10.1093/infdis/jiy349,29982500,PMC6692862
PRJNA307231,10.1128/msystems.00053-18,30035234,PMC6050633
PRJNA414540,10.1038/s41598-018-29229-5,30046129,PMC6060159
PRJNA419373,10.1186/s12937-018-0381-7,30060746,PMC6066923
PRJNA345390,10.3389/fmicb.2018.01618,30072976,PMC6060387
PRJEB43667,10.1111/dom.13466,30088336,PMC6282840
PRJEB27868,10.1073/pnas.1806573115,30126990,PMC6130352
PRJNA428477,10.1093/ofid/ofy190,30151415,PMC6101546
PRJNA481072,10.1158/1055-9965.EPI-18-0348,30206059,PMC6625800
PRJNA420339,10.1038/s41598-018-31866-9,30232389,PMC6145887
PRJNA485316,10.1093/cid/ciy796,30239622,PMC6541703
PRJNA474717,10.1136/bmjresp-2018-000324,30271607,PMC6157510
PRJNA436359,10.1016/j.chom.2018.09.009,30308161,PMC6277984
PRJEB27978,10.3389/fmicb.2018.02323,30337914,PMC6178902
PRJNA472812,10.1002/jia2.25199,30378274,PMC6207839
PRJNA389357,10.1111/hel.12547,30440093,PMC6587566
PRJNA478781,10.3389/fmicb.2018.02682,30483228,PMC6243132
PRJNA432222,10.3389/fmicb.2018.02755,30487786,PMC6246636
PRJNA494680,10.1038/s41467-018-07359-8,30518790,PMC6281577
PRJDB5678,10.14814/phy2.13935,30536648,PMC6286434
PRJNA487119,10.1186/s12967-018-1735-9,30545398,PMC6293533
PRJNA450340,10.1186/s40168-018-0603-4,30545401,PMC6292067
PRJNA497734,10.1038/s41564-018-0321-5,30559407,PMC6384140
PRJNA491825,10.1186/s12866-018-1367-5,30579350,PMC6303881
PRJNA509882,10.1002/phar.2214,30620405,PMC6386623
PRJNA450690,10.7717/peerj.6172,30648014,PMC6330951
PRJNA516932,10.1002/cam4.1965,30652422,PMC6382922
PRJNA395034,10.1186/s13059-018-1616-9,30665461,PMC6341659
PRJNA413199,10.7554/eLife.40553,30666957,PMC6342524
PRJEB30292,10.1038/s41598-018-37246-7,30692581,PMC6349871
PRJNA428736,10.1128/mbio.02566-18,30696735,PMC6355990
PRJNA231909,10.1038/s41467-019-08377-w,30710083,PMC6358638
PRJNA438120,10.1186/s12866-019-1426-6,30832576,PMC6398254
PRJNA495320,10.1128/msphere.00126-19,30867328,PMC6416366
PRJNA517050,10.1080/19490976.2019.1580097,30894059,PMC6866679
PRJNA421288,10.1016/j.ynstr.2018.11.001,30937345,PMC6430185
PRJNA527059,10.1128/mbio.00128-19,30940702,PMC6445936
PRJNA529598,10.1128/msphere.00208-19,30971445,PMC6458435
PRJNA489137,10.3389/fmicb.2019.00598,30972048,PMC6443713
PRJNA510835,10.1128/mbio.00519-19,31015324,PMC6479000
PRJEB25853,10.1371/journal.pone.0215945,31042762,PMC6493738
PRJNA528754,10.1093/ofid/ofz173,31065565,PMC6499899
PRJNA450025,10.1186/s40168-019-0687-5,31078141,PMC6511141
PRJNA434243,10.1128/msphere.00163-19,31118299,PMC6531881
PRJEB32537,10.3390/nu11051135,31121841,PMC6566413
PRJEB32244,10.1128/msystems.00264-18,31138674,PMC6538849
PRJNA398089,10.1038/s41586-019-1237-9,31142855,PMC6650278
PRJNA544545,10.1038/s41598-019-44547-y,31160673,PMC6546715
PRJNA526906,10.1038/s41591-019-0480-9,31209335,PMC7424541
PRJEB27564,10.1016/j.ebiom.2019.05.064,31221587,PMC6606744
PRJNA532731,10.3389/fmicb.2019.01261,31231345,PMC6560205
PRJNA472768,10.1038/s41591-019-0485-4,31235964,PMC7368972
PRJEB27068,10.1126/science.aau4735,31296739,PMC6683326
PRJNA516701,10.1128/msphere.00358-19,31341070,PMC6656869
PRJNA430990,10.1038/s41598-019-45588-z,31358825,PMC6662695
PRJNA532426,10.1093/cid/ciz698,31367771,PMC7286368
PRJNA528344,10.1128/AEM.01105-19,31375480,PMC6752005
PRJNA543007,10.1038/s42003-019-0540-1,31396571,PMC6683184
PRJNA510423,10.1038/s41467-019-11460-x,31399563,PMC6689114
PRJNA431746,10.1038/s41598-019-48352-5,31427714,PMC6700098
PRJNA394877,10.1038/s41586-019-1501-z,31435014,PMC6717508
PRJNA472002,10.14309/ctg.0000000000000073,31464691,PMC6736222
PRJEB31775,10.3390/nu11092193,31547291,PMC6770243
PRJEB32077,10.1093/infdis/jiz473,31549151,PMC7457326
PRJDB5316,10.1080/19490976.2019.1650997,31550982,PMC7053967
PRJNA400332,10.3389/fmicb.2019.02138,31572342,PMC6753190
PRJNA531921,10.3389/fmicb.2019.02260,31611867,PMC6777474
PRJNA520899,10.1186/s12866-019-1617-1,31675917,PMC6824053
PRJNA481243,10.1038/s41467-019-13014-7,31676793,PMC6825150
PRJNA535518,10.1164/rccm.201905-1016OC,31682463,PMC7049920
PRJNA524461,10.1038/s41598-019-52549-z,31690798,PMC6831562
PRJNA427170,10.1038/s41396-019-0550-5,31712738,PMC6976558
PRJEB27807,10.1097/MPG.0000000000002549,31714477,PMC6948794
PRJNA525701,10.1038/s41586-019-1742-x,31723265,PMC6872939
PRJNA559898,10.1016/j.chom.2019.10.013,31726030,PMC7039456
PRJNA510713,10.1007/s00394-019-02135-w,31729622,PMC7501130
PRJNA511474,10.1038/s41698-019-0101-6,31754633,PMC6856115
PRJNA575562,10.1158/1940-6207.CAPR-19-0325,31771942,PMC7528938
PRJEB28159,10.1093/cid/ciz905,31773127,PMC7053391
PRJNA545312,10.1126/science.aax3760,31780560,PMC7003985
PRJNA550519,10.1038/s41598-019-55469-0,31831829,PMC6908594
PRJNA434133,10.1038/s41467-019-13751-9,31836714,PMC6911092
PRJNA579560,10.1128/msphere.00763-19,31915218,PMC6952195
PRJNA578412,10.1080/19490976.2020.1711685,31944159,PMC7524399
PRJNA493625,10.1136/gutjnl-2019-319620,31964751,PMC7398482
PRJNA548153,10.1093/cid/ciaa068,31976518,PMC8662789
PRJNA559052,10.1053/j.gastro.2020.01.031,31987796,PMC7613160
PRJNA533720,10.1093/ecco-jcc/jjaa021,32016358,PMC7392170
PRJEB31155,10.1038/s41598-020-58719-8,32019987,PMC7000387
PRJNA564612,10.3389/fmicb.2019.03142,32038575,PMC6987436
PRJNA576314,10.1016/j.ebiom.2020.102640,32062351,PMC7016366
PRJNA532853,10.1038/s41598-020-59550-x,32066847,PMC7026433
PRJNA540406,10.1038/s41522-020-0119-0,32075981,PMC7031363
PRJNA553646,10.3389/fmicb.2020.00053,32082283,PMC7002438
PRJNA577051,10.1186/s12866-020-01724-8,32126968,PMC7055051
PRJNA590519,10.1007/s10620-020-06173-x,32140945,PMC7419378
PRJNA606023,10.1038/s41598-020-60991-7,32144319,PMC7060206
PRJNA605031,10.1038/s41467-020-14923-8,32152273,PMC7062833
PRJNA480312,10.1186/s40168-020-00812-1,32169095,PMC7071580
PRJNA612042,10.1038/s41522-020-0122-5,32170068,PMC7070067
PRJNA559143,10.1038/s41396-020-0630-6,32210364,PMC7305110
PRJNA591924,10.1016/j.bbi.2020.03.026,32229219,PMC7415740
PRJNA399246,10.1038/s41598-020-62195-5,32231240,PMC7105498
PRJNA398187,10.1038/s41467-020-15342-5,32251296,PMC7089947
PRJNA558158,10.3389/fmicb.2020.00383,32265857,PMC7098974
PRJNA526551,10.1128/msphere.00048-20,32295867,PMC7160678
PRJNA622267,10.1371/journal.pntd.0008230,32401750,PMC7219701
PRJNA589036,10.1038/s41467-020-16222-8,32415070,PMC7228978
PRJNA547591,10.1186/s13059-020-02020-4,32450885,PMC7249393
PRJNA598280,10.1080/19490976.2020.1756150,32453615,PMC7524347
PRJNA400325,10.1016/j.heliyon.2020.e03971,32490229,PMC7262409
PRJNA596776,10.1136/bmjgast-2020-000412,32499276,PMC7279619
PRJNA593062,10.1016/j.cell.2020.05.001,32526207,PMC8591631
PRJNA604825,10.1016/j.wroa.2020.100056,32529181,PMC7276488
PRJNA414072,10.1136/gutjnl-2020-321106,32536605,PMC7873428
PRJNA544721,10.1186/s12866-020-01841-4,32552668,PMC7302156
PRJNA328258,10.1210/clinem/dgaa382,32561908,PMC7458486
PRJNA601994,10.1038/s41531-020-0112-6,32566740,PMC7293233
PRJNA530088,10.3389/fmicb.2020.01139,32582089,PMC7283445
PRJEB33065,10.1128/mSystems.00864-19,32606031,PMC7329328
PRJNA603980,10.1097/CCE.0000000000000135,32695998,PMC7314333
PRJNA556249,10.1128/msphere.00450-20,32699120,PMC7376504
PRJNA631262,10.1128/msphere.00450-20,32699120,PMC7376504
PRJNA604280,10.1093/infdis/jiaa461,32725203,PMC8006423
PRJNA531564,10.3389/fmicb.2020.01550,32733424,PMC7360729
PRJNA564636,10.1186/s40168-020-00887-w,32814582,PMC7439537
PRJNA603983,10.1128/AEM.01705-20,32859598,PMC7580540
PRJNA648818,10.1016/j.envint.2020.106062,32871381,PMC7572588
PRJNA589488,10.1080/19490976.2020.1813534,32887539,PMC7524300
PRJNA662100,10.1128/iai.00301-20,32900816,PMC7671898
PRJEB30401,10.1128/mSystems.00561-20,32934117,PMC7498685
PRJNA604466,10.1016/j.dib.2020.106141,32939372,PMC7479317
PRJNA657036,10.1128/msphere.00731-20,32968008,PMC7568645
PRJNA609050,10.1038/s41467-020-18649-5,32973149,PMC7515896
PRJNA625750,10.3389/fmicb.2020.02028,32973734,PMC7472644
PRJEB35769,10.1038/s41598-020-72161-w,32994487,PMC7524715
PRJEB27662,10.1038/s41467-020-18754-5,33020474,PMC7536225
PRJNA562529,10.1186/s12915-020-00860-x,33054775,PMC7559199
PRJEB36585,10.1128/mBio.01705-20,33082257,PMC7587435
PRJEB30495,10.3389/fnut.2020.00165,33102510,PMC7556162
PRJNA609319,10.3390/genes11111245,33105702,PMC7690385
PRJEB37877,10.1186/s13073-020-00789-4,33109272,PMC7592384
PRJNA606879,10.2147/CMAR.S275316,33209059,PMC7669530
PRJEB36316,10.1080/19490976.2020.1840764,33222610,PMC7714523
PRJNA576564,10.1186/s12887-020-02433-x,33238955,PMC7690020
PRJNA595821,10.1371/journal.pone.0227724,33264299,PMC7710108
PRJNA596889,10.1371/journal.pone.0227724,33264299,PMC7710108
PRJNA491813,10.3390/antiox10010027,33383921,PMC7823698
PRJNA659594,10.3389/fcimb.2020.589297,33384968,PMC7770225
PRJNA622517,10.3389/fmicb.2020.585428,33408702,PMC7779528
PRJNA659245,10.3389/fmicb.2020.597911,33408705,PMC7779531
PRJNA486009,10.1128/AEM.02593-20,33452027,PMC8105024
PRJNA680445,10.3390/life11010055,33466726,PMC7828771
PRJNA515272,10.1038/s41598-021-80982-6,33479274,PMC7820285
PRJNA541332,10.3389/fendo.2020.602326,33488518,PMC7821428
PRJNA693579,10.3390/sports9020014,33494210,PMC7909775
PRJEB38457,10.1038/s41467-020-20495-4,33500411,PMC7838415
PRJNA606262,10.1182/blood.2020006923,33512409,PMC7976512
PRJNA644496,10.1038/s41598-021-82584-8,33536562,PMC7859236
PRJNA615250,10.1371/journal.pone.0246839,33556125,PMC7870049
PRJNA661289,10.1080/19490976.2021.1880221,33557667,PMC7889099
PRJNA644788,10.3390/ijms22041649,33562104,PMC7915344
PRJNA674880,10.1186/s13073-021-00843-9,33593430,PMC7888090
PRJNA644655,10.1128/msystems.01191-20,33594006,PMC8573957
PRJNA610934,10.3389/fimmu.2020.598152,33613519,PMC7893080
PRJNA685389,10.1038/s42003-021-01741-x,33619320,PMC7900251
PRJNA647534,10.3389/fmicb.2020.621879,33633697,PMC7900007
PRJNA701368,10.3390/nu13030726,33668823,PMC7996240
PRJNA642894,10.3390/microorganisms9020358,33670255,PMC7918368
PRJNA688839,10.3390/metabo11020122,33672777,PMC7924600
PRJDB9469,10.1038/s41396-021-00937-7,33723382,PMC8397723
PRJEB37289,10.1128/msystems.01148-20,33727397,PMC8546997
PRJNA645223,10.3389/fcimb.2021.595323,33732655,PMC7958882
PRJNA702086,10.1038/s41598-021-86425-6,33782445,PMC8007739
PRJEB39880,10.1038/s41598-021-86464-z,33782490,PMC8007638
PRJNA716437,10.3390/nu13041092,33801641,PMC8065949
PRJEB42687,10.1128/msystems.00848-20,33824197,PMC8546984
PRJNA646021,10.3389/fcimb.2021.579386,33834002,PMC8021868
PRJNA675753,10.3389/fcimb.2021.590202,33842380,PMC8032992
PRJNA665123,10.7717/peerj.11128,33850659,PMC8019531
PRJNA685914,10.1038/s41467-021-22302-0,33854066,PMC8047037
PRJNA659589,10.3389/fimmu.2021.609700,33868230,PMC8047322
PRJNA721421,10.1002/ana.26084,33876477,PMC8132291
PRJEB42056,10.1128/mSystems.01329-20,33906915,PMC8092129
PRJNA701870,10.3390/nu13041260,33921293,PMC8070191
PRJNA687360,10.3390/jpm11040294,33921449,PMC8070538
PRJNA663722,10.1038/s41598-021-88445-8,33927231,PMC8085221
PRJNA690651,10.3389/fmicb.2021.646361,33927704,PMC8076791
PRJNA687633,10.1371/journal.pone.0251231,33956889,PMC8101921
PRJNA623574,10.3389/fcimb.2021.622735,33968795,PMC8097163
PRJDB10527,10.1186/s12866-021-02215-0,34016052,PMC8139087
PRJNA650259,10.1186/s12885-021-08296-4,34022842,PMC8141218
PRJEB38835,10.1186/s12866-021-02214-1,34078289,PMC8170780
PRJNA547558,10.1038/s41467-021-23281-y,34078892,PMC8172562
PRJDB10485,10.3389/fcimb.2021.646467,34084754,PMC8168436
PRJNA678695,10.1080/19490976.2021.1926840,34100340,PMC8205023
PRJEB39382,10.1128/mSystems.01367-20,34100636,PMC8269264
PRJDB9239,10.3389/fnut.2021.648073,34136514,PMC8200412
PRJNA686801,10.1038/s41598-021-91917-6,34140561,PMC8211673
PRJNA724686,10.1038/s41598-021-92027-z,34140572,PMC8211659
PRJNA641414,10.1128/msphere.00500-21,34160234,PMC8265666
PRJNA723466,10.1371/journal.pone.0250855,34161346,PMC8221508
PRJEB36385,10.3390/nu13062032,34199239,PMC8231825
PRJNA726866,10.3390/nu13062081,34204572,PMC8235411
PRJNA706153,10.3389/fped.2021.674716,34222145,PMC8247656
PRJNA743361,10.1016/j.cell.2021.06.019,34256014,PMC9020749
PRJNA475599,10.1128/mbio.00975-21,34281401,PMC8406238
PRJDB11845,10.3390/cancers13133332,34283063,PMC8268706
PRJNA606654,10.1371/journal.pntd.0009597,34310596,PMC8341710
PRJEB33905,10.1128/mSystems.00179-21,34342532,PMC8407462
PRJNA727279,10.1080/19490976.2021.1957536,34365905,PMC8354614
PRJNA559803,10.7189/jogh.11.04047,34386216,PMC8325932
PRJNA728515,10.3389/fmicb.2021.710940,34421869,PMC8372370
PRJNA689547,10.1017/ice.2021.323,34425925,PMC8866524
PRJNA726917,10.3390/cancers13163999,34439153,PMC8393652
PRJDB9975,10.3390/microorganisms9081651,34442730,PMC8401671
PRJNA480711,10.3389/fmicb.2021.713234,34475864,PMC8406633
PRJNA600229,10.1038/s41598-021-96967-4,34480059,PMC8417078
PRJNA715072,10.1016/j.chom.2021.08.004,34480872,PMC8525911
PRJNA736821,10.3389/fcimb.2021.725284,34527604,PMC8435782
PRJEB37553,10.3390/nu13093171,34579049,PMC8466689
PRJEB44113,10.3390/nu13093248,34579125,PMC8471894
PRJEB44169,10.1002/ctm2.508,34586729,PMC8473640
PRJNA725388,10.3389/fcimb.2021.701109,34604105,PMC8481893
PRJNA742936,10.3389/fnut.2021.733057,34604282,PMC8481367
PRJNA709129,10.7717/peerj.12158,34616618,PMC8449532
PRJNA720101,10.3390/cells10102795,34685776,PMC8535131
PRJNA684584,10.1172/jci.insight.148543,34710061,PMC8675195
PRJNA735699,10.1097/MPG.0000000000003336,34724447,PMC8799498
PRJEB40751,10.1128/mbio.01857-21,34903050,PMC8686833
PRJNA736070,10.1080/19490976.2021.2014739,34965180,PMC8726655
PRJNA633879,10.1186/s40168-021-01190-y,34991717,PMC8734160
PRJEB42155,10.1038/s41564-021-01050-3,35087228,PMC8852248
PRJEB46174,10.1128/msphere.01007-21,35107335,PMC8809377
PRJNA753264,10.3389/fcimb.2021.763507,35145919,PMC8821809
PRJEB40569,10.3389/fcimb.2022.722886,35211421,PMC8860989
PRJEB44538,10.1038/s41598-022-07336-8,35260584,PMC8904534
PRJNA703470,10.1016/j.isci.2022.103956,35265820,PMC8898972
PRJNA688751,10.3389/fmicb.2022.812136,35295290,PMC8919028
PRJNA760529,10.3389/fmicb.2022.826916,35391720,PMC8983270
PRJNA706727,10.1186/s40168-022-01230-1,35414043,PMC9004197
PRJNA657821,10.1038/s41366-022-01117-z,35428865,PMC9239911
PRJNA488351,10.3389/fcimb.2022.825189,35433508,PMC9010725
PRJNA741048,10.1093/ofid/ofac125,35434176,PMC9007923
PRJNA759642,10.1038/s41598-022-07995-7,35440670,PMC9018687
PRJNA764337,10.1038/s41531-022-00312-z,35449203,PMC9023571
PRJNA762195,10.3389/fmicb.2022.841614,35464979,PMC9024414
PRJNA630848,10.1186/s40168-022-01248-5,35562794,PMC9107176
PRJDB9705,10.3389/fmicb.2022.644146,35602030,PMC9116438
PRJNA675093,10.1186/s12888-022-04151-3,35941573,PMC9358122
PRJDB10528,10.1038/s41467-022-32015-7,35982037,PMC9388534
PRJDB8511,10.3390/nu14173468,36079725,PMC9460218
PRJNA729439,10.1186/s13023-022-02569-2,36376984,PMC9664625
PRJNA631001,10.1186/s40168-022-01429-2,36639805,PMC9840338
PRJEB26012,10.1093/gerona/glad011,36655399,PMC10562887
PRJEB41341,10.1038/s43705-021-00065-5,36750618,PMC9723549
PRJNA607574,10.1016/j.chom.2023.05.027,37329880,PMC10527165
PRJNA648321,10.1038/s41598-023-33959-6,37355726,PMC10290636
PRJNA531279,10.3390/ijms25052966,38474213,PMC10932036
PRJDB10612,10.1016/j.foodres.2021.110326,,
PRJDB11894,10.1038/s41586-021-03832-5,,
PRJDB8027,10.1111/hepr.13509,,
PRJDB9936,10.1016/j.funeco.2020.101036,,
PRJEB23775,10.1016/j.tmaid.2018.10.012,,
PRJEB29433,10.1097/MPG.0000000000002435,,
PRJEB31354,10.1016/j.celrep.2021.110239,,
PRJEB32547,10.1016/j.clnu.2020.12.034,,
PRJEB33268,10.1038/s41366-019-0440-y,,
PRJEB38948,10.1097/QCO.0000000000000397,,
PRJEB39289,10.1093/infdis/jiab068,,
PRJEB40538,10.1002/mnfr.202001178,,
PRJEB8463,10.1126/scitranslmed.aab2271,,
PRJNA311147,10.1111/pedi.12468,,
PRJNA324452,10.1016/j.cub.2016.08.015,,
PRJNA325931,10.2337/dc16-1324,,
PRJNA328987,10.1093/jn/nxx071,,
PRJNA350277,10.1111/1462-2920.13819,,
PRJNA383606,10.1007/s10096-017-3026-4,,
PRJNA388132,10.1007/s11427-018-9456-x,,
PRJNA390475,10.3920/BM2018.0067,,
PRJNA396815,10.1007/s00253-022-11846-w,,
PRJNA414683,10.1017/S0007114517003440,,
PRJNA418903,10.1136/gutjnl-2018-316639,,
PRJNA421371,10.1007/s12020-018-1813-z,,
PRJNA422125,10.1093/femsec/fiy186,,
PRJNA431126,10.1111/1751-2980.12795,,
PRJNA433163,10.1016/j.neuroscience.2018.11.048,,
PRJNA434046,10.1002/jpen.1595,,
PRJNA437504,10.1152/physiolgenomics.00026.2019,,
PRJNA445640,10.1101/331876,,
PRJNA445932,10.1016/j.diabres.2018.08.010,,
PRJNA450540,10.14309/ajg.0000000000000136,,
PRJNA476770,10.1111/1462-2920.14705,,
PRJNA480547,10.1136/gutjnl-2018-317609,,
PRJNA481413,10.1007/s10120-022-01302-z,,
PRJNA517572,10.1002/jpen.1695,,
PRJNA521398,10.1097/j.pain.0000000000001640,,
PRJNA528813,10.1093/ajcn/nqz270,,
PRJNA544370,10.3839/jabc.2020.011,,
PRJNA544527,10.1038/s41591-019-0559-3,,
PRJNA551226,10.1093/femsec/fiaa105,,
PRJNA552448,10.1016/j.chom.2019.10.009,,
PRJNA554232,10.1016/j.jcf.2020.04.007,,
PRJNA560950,10.1016/j.chom.2020.01.006,,
PRJNA573829,10.1002/art.42616,,
PRJNA574565,10.1093/rheumatology/keac458,,
PRJNA606061,10.1158/2326-6066.CIR-20-0196,,
PRJNA616703,10.1111/1462-2920.15167,,
PRJNA623853,10.1038/s41366-021-00904-4,,
PRJNA625181,10.1038/s43587-021-00129-0,,
PRJNA627982,10.1093/ofid/ofz359.151,,PMC6809142
PRJNA631283,10.1126/science.aay9733,,
PRJNA631883,10.1111/1462-2920.15517,,
PRJNA639644,10.1007/s00253-020-11043-7,,
PRJNA644097,10.3920/bm2020.0137,,
PRJNA644520,10.1016/S0016-5085(19)37016-7,,
PRJNA645635,10.1111/jam.15076,,
PRJNA646360,10.3390/nutraceuticals3010003,,
PRJNA673102,10.1038/s41588-020-00747-1,,
PRJNA678221,10.1016/j.jff.2021.104572,,
PRJNA685746,10.1053/j.gastro.2022.07.004,,
PRJNA708262,10.1038/s41591-021-01399-2,,
PRJNA715036,10.1021/acs.analchem.1c01654,,
PRJNA715766,10.1016/j.celrep.2021.109765,,
PRJNA720325,10.1016/s2468-1253(21)00226-0,,
PRJNA729511,10.7302/8393,,
PRJNA750230,10.21203/rs.3.rs-3647892/v1,,